question #,original sentence,change to,answer
1,I am a student.,I → He,He is a student.
2,She is my friend.,She → They,They are my friends.
3,This is a cat.,Plural,These are cats.
4,I like apples.,I → He,He likes apples.
5,He is happy.,He → They,They are happy.
6,These are books.,Singular,This is a book.
7,I have a pen.,I → She,She has a pen.
8,She likes milk.,She → I,I like milk.
9,This is my bag.,Plural,These are my bags.
10,I am tired.,I → We,We are tired.
11,They are boys.,Singular,He is a boy.
12,I like dogs.,I → She,She likes dogs.
13,I am a teacher.,I → She,She is a teacher.
14,He has a ball.,He → They,They have a ball.
15,This is my pencil.,Plural,These are my pencils.
16,She is tall.,She → We,We are tall.
17,I like pizza.,I → He,He likes pizza.
18,I am happy.,past,I was happy.
19,She is my friend.,past,She was my friend.
20,They are at home.,past,They were at home.
21,He likes apples.,past,He liked apples.
22,We play soccer.,past,We played soccer.
23,I like milk.,negative,I do not like milk.
24,She is tired.,negative,She is not tired.
25,He has a bag.,negative,He does not have a bag.
26,They play outside.,negative,They do not play outside.
27,We are ready.,negative,We are not ready.
28,I am late.,question,Am I late?
29,She is happy.,question,Is she happy?
30,You are busy.,question,Are you busy?
31,He likes pizza.,question,Does he like pizza?
32,We play games.,question,Do we play games?
33,I study English.,future,I will study English.
34,She goes home.,future,She will go home.
35,We eat lunch.,future,We will eat lunch.
36,They play soccer.,future,They will play soccer.
37,He reads books.,future,He will read books.
38,I am hungry.,past,I was hungry.
39,She is at school.,past,She was at school.
40,They are busy.,past,They were busy.
41,He is my friend.,past,He was my friend.
42,We are ready.,past,We were ready.
43,I like juice.,negative,I do not like juice.
44,She is happy.,negative,She is not happy.
45,He has a pencil.,negative,He does not have a pencil.
46,They play outside.,negative,They do not play outside.
47,We are late.,negative,We are not late.
48,I am tired.,question,Am I tired?
49,She is your teacher.,question,Is she your teacher?
50,You are busy.,question,Are you busy?
51,He likes music.,question,Does he like music?
52,We play soccer.,question,Do we play soccer?
53,I study math.,future,I will study math.
54,She goes home.,future,She will go home.
55,We eat dinner.,future,We will eat dinner.
56,They play games.,future,They will play games.
57,He reads books.,future,He will read books.
58,I am cold.,past,I was cold.
59,She is in the room.,past,She was in the room.
60,They are late.,past,They were late.
61,He likes cats.,past,He liked cats.
62,We play after school.,past,We played after school.
63,I like apples.,negative,I do not like apples.
64,She is busy.,negative,She is not busy.
65,He has a ruler.,negative,He does not have a ruler.
66,They eat lunch.,negative,They do not eat lunch.
67,We are ready now.,negative,We are not ready now.
68,I am early.,question,Am I early?
69,She is your friend.,question,Is she your friend?
70,You are happy.,question,Are you happy?
71,He likes milk.,question,Does he like milk?
72,We play games.,question,Do we play games?
73,I study English.,future,I will study English.
74,She goes to school.,future,She will go to school.
75,We eat breakfast.,future,We will eat breakfast.
76,They play outside.,future,They will play outside.
77,He reads comics.,future,He will read comics.
